,0
193,hospital still open service call early morning people answering
181,today come doctor hospital working system bad came sit wait seven thirty-nine clock ten thirty-nine clock sixth floor file come sixth floor file ha sent come ask history file downstairs lower floor tell send file nine forty-five ticket made month appointment card seven thirty eight thirty pm card file sent nine forty-five work question asked nurse speak badly 6th floor staff phrapa building talking badly staff speaks badly patient thirty-nine heart bad please take staff train patient thirty-nine talk
150,mother admitted hospital anal lump january doctor nuek kyu give surgery slowly memory good lost forgotten blurred talking remembering even coming mother good condition normal everything pity mother much previously patient good feeling able come hospital possible way make quick treatment patient ha one additional lump meat patient ha pain want cut leg
152,son waited three year come see
175,dog cot take bad habit back people home use others use emotion reason broken
133,child fever take child check time seventeen eighteen seventeen thirty-nine checked nurse said history ha yet arrived need another half hour fever measured seeing nurse working mother child fever headache worse nurse anything pay cash slowly
96,today go family medicine new patient thirty-nine catch interview room reconcile whether come check
77,doctor nurse sacrificial mind system good
34,service excellent holding self interest place two take care patient one
234,first time come get medicine relative province come contact one pm straight still sitting waiting yet waited dispensing zone two half hour passed call anything wa first time wa impressive know misunderstanding probably lot people may slow normal never go hospital slow thank comment area
247,waiting nine noon receiving treatment
7,take mom go obstetrics gynecology clinic procedure make online card go work opd building 1st floor appointment officer provides good information call easy difficult day appointment arrive least half hour one hour kubini obstetrics gynecology part time service good
80,used use service four time four half star half well developed
176,mother wa sent hospital bang phai hospital appointment liver x ray cancer detection doctor checked mother said thirty-nine use delivery certificate come check day appointment staff counter said wa delivery certificate would checked given new mother summary mother starve time fell asleep waited nothing please ask hospital improve service working system
118,paya treat kidney disease hospital welcoming spoke patient well happy every time wa treated people kidney disease wa caused eating much salty wanting kidney disease eat salty reduce eat properly add flavor grandma eat food tasteless sometimes may spicy food occasionally let people create single person eat spicy food worry health
9,doctor nurse good kind
209,many nurse good bad especially observation room e fatty bad service speaking badly top adult read leave bad nurse emergency room equally terrible kg unlikely country thirty-nine leading arthritis
185,bad administration system especially profile room make request file go building ha checked two hour get ten queue change system
154,want see sick want go hospital work done must seen
169,bad doctor nurse nurse wood must talk value person cold blood medicine still good doctor know thirty-nine true
5,used surgery hospital maintained well doctor neuroscience institution hospital helped take care mouse well surgery came cut treatment neuroscience institution wa adjacent symptom disappeared mother went work ramama doctor skilled point friend disease thirty-nine know eating much shoulder fat well thirty-nine better three year
84,mother searched doctor year support symptom open mind supplement result
109,since thirty year ago service ha good latter slow
111,patient die die doctor say nothing thirty-nine detect cause went many hospital lost lot money everywhere doctor said wa nothing go try talking
41,received treatment cancer recovered lived like normal person
30,clean doctor nurse friendly excellent service modern tool
212,shoulder dropped point wa xray medicine wa sloppy pain ten thirty-nine clock jaw wa left waiting work go er word think continued dropped took thousand hurt nurse took hemostatic cotton see blood droplet sheep thirty-nine blood blood droplet flicked front nurse say called thirty-nine listen leaving must find hospital near end several thousand sloppy treatment
139,many state hospital nurse improved appearance service think continue provide service facial expression facial expression wa social network
178,feel bad
27,one three major medical institution thailand institute
231,waiting delivery hospital dr adithep already informed two may two thousand fifteen auspicious occasion six twenty hr today come sleep wait preparation cut advance one day nurse informed seven thirty wa nurse delivery room saying time wa wrong prepare fifteen minute six doctor start cut knife six nineteen hr said six twenty-one hr room nurse speak well doctor may ok tomorrow lot auspicious hour wa shocked one minute could wait must stress one minute already found auspicious time nurse delivery room speak one person told doctor took fifteen minute person told time cut knife time wa time confused
171,sick came surgery october two thousand fourteen today march twenty-nine two thousand fifteen arranged four five round advance heart come wait day seven five thirty-nine clock evening calling meet say bed full special room doctor went abroad wa tired thirty-nine wait appointment
17,thank doctor especially dr jiran apinan department orthopedic surgery care patient mr kessaraporn kiat phanitkij good though never known thank compliment
82,social security staff service good lovely kind amiable pretty kind everyone aircon room cool think sleeping hotel five hundred fifty-five personally like much level service impressive must waiting wait blood result concluded inflammatory bowel sleeping half day back home
187,thirty-nine worst hospital thirty-nine ever encountered nurse thirty-nine care anything
127,medical student good ask symptom entering examination check well teacher good ready give u advice well like much
107,newly born surgical surgery thank everyone good care trade surgical wound beautiful trade little one healthy healthy
183,personnel building phor phor day twenty-three fifty-eight old woman bad took father car elevator told allowed wait elevator 3rd floor ran several floor turn wa left 1st floor
44,hospital analyzes cause disease two three people sure sure give camera additional reason
225,blood collection room 1st floor phra thep nang glass sitting counter bar code service terrible speak emotion patient meng changed system talk wrong documented walking around fixed several document also swear another screw know kaeming yes hell system also free pain blood punch wrong document know find blood line difficult get hurt go work plowed field going work buffalo iffi fettfried bad bad nail bad mood
123,received examination treatment hvp infection cervix dr suthee performed three time first time pap smear obstetrics wa found cervix abnormal infection visited doctor examined thoroughly found wa stage pre cancerous lesion cin doctor arranged check every month wa level appointment confirmed infection found doctor arranged endoscopy cervix cut flesh check waiting hear two week result cin3 disorder shocked scared information prepared understand thing much reduced addition dr suthee good doctor afraid knowing result doctor made treatment using cone shaped cervical cutting method called leep treatment bleed surgery one week receiving treatment doctor ha made appointment check result found normal ha three child
252,winning doctor thirty-nine disease understood doctor found patient cancer wa final stage repeat may tired talk disease end patient doctor thirty-nine ethic speak stop treatment say treatment healed wa considered treated shouting tone annoying sound like patient tell well inform relative patient knew wa hopeless enough come see doctor say make patient stay despair khun chung really merciless doctor improve use word speaking patient much
236,waiting drug long time send post address
92,good good best best
67,received good service lot patient nurse diligent staff instead see thank dr surin asawawithoonthip provides treatment throughout luck family ha treated doctor thank
182,father ku cold fever asks blanket guy mother black blanket tell cover cloth fever drain chase like pig dog gustavs good request work like waiting relative even though wa able take picture work thirty-nine dead thirty-nine take profession help people difficult stir heel
157,garbage collector hospital great word thirty-nine heard
114,toilet smelly paper creatine afternoon dirty
216,poor service especially nurse
