,0
0,"Go to get blood examination in urine Must book a queue for quite a long time Call to reserve first But the service is very good You are a very friendly person. Impressed with the lovely nursing service, giving advice on what to do. Specialized doctor who is very good Very good consultation And said no need to worry As for travel to the hospital, it is very convenient. Can take a train or underground car Drive to have a parking space."
1,"Service is good. But wait for a long time But accurate diagnosis Ill go to the hospital Chulalongkorn, which is lost every time Plus not too expensive Suitable for provincial children who come to live in Bangkok a lot. At first I was worried that it would be expensive. Food sold is very hygienic. With the amount and amount of calories said The taste is quite good. Not too bold Very cold air 55555555555"
2,Have food poisoning and take treatment at this hospital The doctor is very good. Along with the introduction of primary treatment By which I followed the instructions of the doctor and took the medicine along with the doctor informed It takes less than 2 days. The food poisoning has disappeared. Thanks to the hospital that helps take care of this.
3,"There is a good service at a certain level. Many times Impressed every time. When I reached the queue, I went to talk to the doctor. At first I didn&#39;t know what the disease was because I had a stomach ulcer. I usually thought I had gastritis all the time. When he came to check with the doctor, he knew that he was a bowel disease. The doctor is very good at keeping the point. The condition is getting better."
4,"For Chulalongkorn Hospital Very good service Leave and give birth here. Including contraception Impressed from the beginning of the deposit All personnel are very attentive to all mothers. Medical student Including the nurse, very kind, cute, everyone"
5,"Check it very well The doctor gave me a very good diagnosis. Because health checks are necessary and careful Because some diseases often come unconsciously Had recommended to go to check at this hospital like Kan Friends are okay because the service is good, so I want to come to review for everyone to use and serve as a part of the decision to maintain and take care of our own health."
6,"Very good check Nursing is good, take good care of the patient, close to home, easy to go, easy to use, very convenient. Receiving drugs is not long enough. Waiting to go to check inside. I would like to check every year. Tell from head to toe What is the inside of us? Very detailed. I want everyone to try to use Chulalongkorn Hospital. For the benefit of everyone Very good. Really recommend it."
7,"Good service at a certain level Many times Impressed every time. When I reached the queue, I went to talk to the doctor. At first I didn&#39;t know what the disease was because I had a stomach ulcer. I usually thought I had gastritis all the time. When he came to check with the doctor, he knew that he was a bowel disease. The doctor is very good at keeping the point. The condition is getting better."
8,"Had the opportunity to visit a doctor at Chulalongkorn Hospital Dr. Weng has experience. Have expertise Wondering what you can do with your doctor? Have good service, care for patients, reduce stress and panic But the queue is very long as well Have to wait for a while Because it is not very heavy or emergency, overall it is ok Get the information you need"
9,"Very good check Nursing is good, take good care of the patient, close to home, easy to go, easy to use, very convenient. Receiving drugs is not long enough. Waiting to go to check inside. I would like to check every year. Tell from head to toe What is the inside of us? Very detailed. I want everyone to try to use Chulalongkorn Hospital. For the benefit of everyone Very good. Really recommend it."
10,"Went to bury the control pills at Chula Hospital, convenient transportation, next to bts and mrt Fast service is very friendly for people under the age of 20 years, buried for free. Pay only for the examination fee within 300 baht. Students from other provinces can embed it. You can consult a social worker at the gynecology department, but if you have never made a card, you should wait in the morning because it takes a long time."
11,"At Chulalongkorn Hospital was impressed by the medical records staff, nurses and doctors, very good care, friendly service, kind heart, good advice, very helpful, very impressive, clean place. Good to live. Haha. The doctor gave me a good light. Rarely feel hurt Get a lot of drugs too The pharmacist advised him to take the correct medicine. A lot of people But impressive service The nurse may have some scolding. But he did his job to understand. Hahaha."
12,"Fit to take the mother to check the annual health. In each department examination Both blood collection, x-ray waiting, queue is not long, staff work systematically As for travel to the hospital, it is easy to travel, conveniently located near both the BTS and MRT stations. From the Saladaeng BTS station, there is a link to the Phor Phrao building. May be a little difficult because the car is stuck As for the service, the staff and doctors speak well, friendly, both the staff in the registration room. Good-natured No frustration, upset at all. Very impressed"
