,0
0,"Use the service to discuss the keloid wound at the upper arm. Would like to consult whether the surgery will be done or injected well Makes us comfortable and decides what to do with the wound Which injections will use the injection time several times to reduce the size But the surgery was done once, but the kyloid wound could be repeated again What if someone is interested in keelid wound? Siriraj Hospital is another good option."
1,"It is a very good hospital. I used to treat tumors in the uterus. The nurse is very patient. The most up to date sleeping room is like a special room. Stay close to the nurse all the time. Take care of us like a real relative. Take a shower. Wipe yourself. I applaud for every nurse. Really, not disappointed at being treated at this hospital. Very impressed. I want to treat Sirirat. Thank you to the punch"
2,"Siriraj Hospital, doctor and nurse are very cute. Give much advice about the case Take the child to check by appointment. The doctor gives a good explanation every time. Check procedure is not complicated, the room is separated separately. Drug room staff gave a good drug description Even when traveling The hospital will be far away, but not tired. Come back and feel comfortable every time. The doctor explains the treatment method very well. No need to worry about the disease."
3,"Take Grandma to cure cancer, good service, fast, friendly Very cute. From Grandma, the doctor told me that her breast cancer could last for a long time. Paya went to chemo. Take to treat the doctor, give medicine to eat continuously Until now, my grandmother is getting better From that moment, now, 2 years ago Because there is a doctor and good service from the hospital"
4,"Take Mom to go to the Obstetrics and Gynecology Clinic. The procedure is to make an online card. Or go to work at the opd building, 1st floor The appointment officer provides good information. The call is easy. It is not difficult. On the day of the appointment Arrive at least half an hour - 1 hour Kubini Obstetrics and Gynecology, part-time service, very good"
5,"The psychiatry unit provides care for patients with emotional and mental problems. The atmosphere in the department is quite comfortable. Medical staff, nurses are friendly. Service may not be as fast as private hospitals, but not very slow. Do not rush to pick up the doctor&#39;s queue from dawn. There is a patient queue system. There is a separate drug service from other outpatient departments except after 16.00 hrs. Which has to go to pick up the medicine at the 1st floor medicine room. The first visit, sometimes if the patient is very special, may be an appointment to come in Next time instead (but we can go check it). Consultation service fee (simple is doctor fee) for new patients. Do not count medicine for no more than 30 minutes, 600 ฿, next time 300 ฿. We see a doctor more than 30 minutes, many times, since the first time. Doctors, therefore, doctors will circulate throughout But there will be a regular medical instructor Doctors who circulate are not medical students. But was a doctor who specialized in the field, was a psychiatrist Usually here, in most cases, if there is an addiction, the patient will be forwarded to Kalya Institute. In addition, tests such as IQ tests Or have counseling Psychotherapy, group attendance by clinical psychologists"
6,"Provide good treatment, fast, have medical students come to diagnose as well. Due to the wrist being dropped from the basketball player and falling, the treatment did not reach the cut. Heal by weighting the elbow to allow it to stretch. Then arrange the joints into place Injecting antibiotics And into taro For another month, he came out to tibia. As he saw that the condition improved, he switched to taro."
7,"This service is very good. How many people, the staff is fully working, no signs of facial expression, not satisfied to see it. Used to take a friend to check and we couldn&#39;t find a patient building The staff took us to the place. Have to wait for a long time because of a lot of people But the service staff is very good Facilities are available for patient service. Overall, it is very satisfying. #Thank you at the hospital for this kind of goodness."
8,"We treat this place for the first time with depression, nursing, smiling, cute, speaking for everyone. He did not show that he was frustrated. Or annoy patients who show loud voices Or can&#39;t control We don&#39;t feel like we are alienated. Have friends to talk about similar things While waiting for the doctor All the doctors are very kind. Pharmacy is cute We choose not really wrong at this place. We love Siriraj very much."
9,"Great service. Feel safe when walking into this hospital. Both doctors, nurses, both talented and talented Makes me know how to be safe and happy when I meet this quality person Very impressed with returning to use Siriraj Hospital again. Thank you for taking care of each other Thank you. If there is an opportunity to tell and use the service again, let 5 stars go."
10,"We were born at this hospital. In the old days, my mother told us that every doctor and nurse here is good. I don&#39;t choose to be a cardholder until I get rich. Love here today. Personally, because here he treated the rich and poor people equally for the people who were in the dark as we were. The doctor was good at all. One private hospital will be sent. Siriraj told us to make Jaime not 50-50 but 30-70. We cry until it is crazy. Siriraj Hospital made us get fans back and normal. Everything. Thank you."
11,"Very impressed. I was a thalassemia from birth and received blood at Siriraj Hospital until I had treated my spinal cord transplantation caused by abnormal symptoms but because of thalassemia It is a disease that is not cured, but this hospital has allowed me to live a normal life like other people. For now, I still have to check the blood all the time that the doctor has arranged to see the DNA and the body&#39;s values and also have to check the eyes as well, which I checked at Siriraj Hospital."
12,"Doctor, including nurse assistant and hospital staff, take good care of Use words to listen to, be polite, friendly to patients. When the symptoms arose, rushed to the hospital. The doctor quickly came to see the symptoms and then used the sprayer to spray. Makes it easier to breathe better After spraying, he was still looking after another period of time until he recovered. Overall, okay with the hospital here."
13,"Because we are sick And have to be treated at Siriraj Hospital for many years. The visit to this hospital frequently makes it noticeable that Staff here are very quality. Really good level Impressed since Security guard The staff moved the patient, the nurse until the doctor really impressed everything. Today I intend to write this post. Encouraging everyone working in Siriraj Security guard We noticed that he would check in the building as well. Walk around the building Very good security When crossing the road here, pedestrians are bigger than cars. And the largest patient cart is if there is a wheelchair to cross Always waving the car to park first Patient moving staff Is another unit that is most grateful for a fresh yesterday We have to sit in a wheelchair and rain. We will go from Siam Min Building to the cafeteria. Then gave the mother to go enough to see the employee He hurried to ask where he went. When he reached the front of the cafeteria, it had water from the rain. We saw and said that You can send it here. I will walk on my own (use a walking stick) to open my mouth. The older brother stepped down in the water and threw the most (feeling guilty in his mind). It must be a whole day. The employee raises his hand to accept. Say nothing But Pee Ka&#39;s shoes are so grateful."
14,"Go to see a doctor at Siriraj. Psychiatric department is a special part-time clinic. The doctor is very good, speak good, very kind, nurse is cute Ask about anything, then answer thoroughly. Don&#39;t swing without it. The location is good. Convenient. The hospital can be organized as a regulation system. Can make an appointment to meet the doctor Waiting for a long time because it was time Even though it is a special part-time clinic But the doctor&#39;s fee is not expensive The price of the medication will be in each medicine that the doctor pays. Overall very good."
15,"Siriraj Hospital Considered that the best of the country, Leb, doctor, good service, good speech, love this hospital Because he used to use the service many times Nurses speak friendly Understand the patient, do not wait for long, there is no hospital anywhere as good as this. I used to go to sleep at this hospital. Like last year At that time, caught a cold, traveling abroad. Came back as a heavy fever Loi Admit at Chiraphaya Yap Cost is not expensive Better than private"
16,"Being treated with a scalpel at the skin department hospital, 4th floor, outpatient building Very good. Give the least affected treatment. Used to be treated at other hospitals, but still worried about side effects Recommend to go at any time if you can go on weekdays because the treatment fee will be cheaper than a special clinic Personally, I used to go to both clinics and give good treatment to both of them. The queue of Siriraj didn&#39;t wait long if we followed the date of appointment for the new patient. 1. To waste time, one day, to make a card before the 1st floor 2. Come to the queue at the appointment. 3. Once the examination is completed, the next appointment will be made."
17,"The service was very good. At first I heard the rumor that it had been waiting for a long time. Is not waiting for anything Or maybe because we went to a clinic outside of time ^^, in terms of treatment, very ok Size, we know what we are But intend to go here for the first time in order to start a new examination Inform the doctor immediately. Now, but wait for the blood to confirm only"
18,"It&#39;s a very good hospital. Good service, very good doctor. Is the day I go in the morning There is a very good service. Booking queue is very sensitive. The hospital makes us feel safe to come and treat the disease. Meet the doctor, the doctor who is very kind. Suggestions, give us a very detailed and very important treatment, can be very expert, a very good doctor. When the dispensing service was waiting, it was not long. The hospital is very wide, with a lot of special rooms for patients."
19,"Come to the psychiatrist first time here Impressed by watching and and speaking of Dr. Morakot Thank you to the nurse and you are looking at everyone. Dare to say that it is quite scary because of suspicion. The more you read the reviews, the more afraid of getting into a psychiatrist. But the doctor is very polite And urged that we have a cure Thank you for your support and goodness from Siriraj&#39;s doctor. Going to another hospital will be confused with various buildings, but the Siriraj Hospital has various management systems. And various buildings make walking to find a place without wasting much time too."
20,Siriraj Hospital is the country&#39;s first large-scale hospital. And there are a lot of patients to treat here Because the diagnosis is accurate And the full potential of treatment The doctor is very kind. Both the daily number of patients But from placing various excellent systems Making it not confusing to the patient and very convenient since the card making process Until waiting for the queue And got to see a doctor Can make a patient card online And can also make an appointment for a special clinic online with great impression
21,"The doctor entered the surgical fever well, but the body pulled out the blood line. Therefore having to make a second round Have to call the teacher throughout the life of the cut until the neck is today The nurse in the neck department is cute, but the radiation plan is good. Everything is ok. Poor in the neck, around that time, until a year, then the neck is not better."
22,The doctor can give very good advice. Keep track of symptoms throughout the treatment. Go to the doctor with knee pain The doctor can give very good advice. Keep track of symptoms throughout the treatment. Go to the doctor with knee pain The doctor can give very good advice. Keep track of symptoms throughout the treatment. Go to the doctor with knee pain The doctor can give very good advice. Keep track of symptoms throughout the treatment. Go to the doctor with knee pain
23,"Symptoms of the fingers, toes, and numbness over the course of more than 1 year Then returned First thought that because of the neck pillow And after degeneration Therefore causing tea But the doctor said that it is not quite right. Try to see a neuro doctor. Neuro doctor examines and says that the nerves are slightly To eat and nourish the tea"
24,"Went to surgery to tell the body in the brain. In 2003, the doctor made me unable to walk until now for 15 years. My male aunt finished his doctor from Siriraj. The surgeon who gave me the end of my man&#39;s water again made me Disappointed with this treatment so much that my family did not have much status as a pensioner, grandmother, a housewife."
25,"Today went to Siriraj. Fit with high fever Coughing up to the brain, fatigue, coughing, chest pain, diarrhea, fever Emphasize (nurses at the front end At the public relations), we walked to meet the first nurse, so he said he had to wait for the car because if we were unable to do it, we had to wait for the car. Until he talked to the second nurse, the second person asked again what was We told him to tell the symptoms again. The nurse said that because of coughing, right? So hurt. We said that we had a lot of fever, weakness, standing until we couldn&#39;t. This nurse said that because of a lot of cough, it was chest pain. The nurse informed that the patient was sick and it was normal. (This person doesn&#39;t speak well Not good at snapping again. Then the nurse tried to say that he didn&#39;t know if there was a queue) until we couldn&#39;t wait, so he decided to go to a private hospital. Concluded that we are a flu strain, just want to tell the nurse that If we are not sick, we will not go to the hospital. And the words that shouted at the patients, it was not okay because he was sick, he was not okay, then you are a nurse. It&#39;s not ok. With nurses in front of the building at the reception"
26,"The hospital has an outpatient clinic. There are many people using the service. But the nurse assistant service provider treats everyone equally and friendly, with a smile, good service. Give good advice Giving various explanations with great care and help This impression made me forget about stuck cars and many people. The impression is that the doctor gives time to the patient. Provide knowledge and explain the symptoms of the disease Ask and pay attention to the patient&#39;s condition very well. Make people feel comfortable feeling that they want to be treated here"
27,Is a big hospital Fully equipped Convenient to travel The doctor and nurse cares for the patient. The care is very good.
28,Inquire. Has anyone booked a queue with this website and got a real queue? Is afraid of wasting time
29,"The hospital has an outpatient clinic. There are many people using the service. But the nurse assistant service provider treats everyone equally and friendly, with a smile, good service. Give good advice Giving various explanations with great care and help This impression made me forget about stuck cars and many people. The impression is that the doctor gives time to the patient. Provide knowledge and explain the symptoms of the disease Ask and pay attention to the patient&#39;s condition very well. Make people feel comfortable feeling that they want to be treated here"
30,"I have a hiccup, do not stop every half an hour. At night, just feeling awake, turning and hiccuping, and coughing, severe coughing and puke for 1 month Will there be a cure?"
31,"Normal conversation, no symptoms, abdominal pain, chilling up, then the stomach will start to freeze up and then swell up and sit up to sit and not rest for a while Yes"
32,The shoddy doctor diagnosed without examining the patient&#39;s condition.
33,"The doctor is cute, friendly, kind-hearted nurses, even if defaulted. And the doctor is very long Can still allow the walk-in to enter Thank you really."
34,"The service and treatment are very good. Talking to the patient is smiling. Wrong with some public hospitals The patient wished not to go. In the area of Sampran, but sitting in the car to see a doctor at Siriraj, wasting money Siriraj Hospital offers a very good patient service."
35,"I went to see a psychiatrist. I am a severe type of Tourette syndrome. I went to the doctor at another hospital before, but it wasn&#39;t good either. But when he met this doctor I feel that I can return to normal. The doctor asked for the symptoms and the drugs that were used. And he analyzed the symptoms and drugs that were used And adjust the medicine again The adjustment of the medicine is very satisfactory for me. Makes me think why not come here first The doctor gave hope to me and said that I can recover. I definitely feel that it has to be healed. This doctor has a lot of humor and a lot of understanding of teenagers. I think that if a teenager who wants to find a doctor, a psychiatrist should come and see you. Even though it was the first time I went to treat you. But he analyzed the problems and symptoms of the mouse well and very accurately"
36,"Impressed with the treatment and care of Siriraj&#39;s patients The team of doctors and professional nurses are all cute, loving my daughter. Give good attention Thank you here from my heart. We will never forget."
37,"Because he had never been treated for the first time because the doctor who had taken care of it was recommended. But the staff that oversees Very good service. Clear and clear every step. Don&#39;t fret Take care of patients in order of illness. Answer a lot of questions. Very good. Even though many people do not understand much, I like it better than private hospitals that do not care for us like this. It is an encouragement for all staff to fight."
38,"Since the officer Including nurses and doctors Very good service, no symptoms, irritability or poor facial expressions to patients, so good treatment, helping patients who are still helping themselves are not as good. If there is a child next Will be born at Siriraj Hospital"
39,Went to see the gut The doctor gave me a picture of the inside of the filling. Very impressed. The doctor clarified the details clearly.
40,The doctor is able to find the cause of the illness of his father. And well treated
41,Generous nurse
42,"Used to be inflamed lymph nodes and allergies And he was treated at Siriraj by the doctor who took good care of the patient Check the cause thoroughly When piercing the lymph on the neck, checking hands very lightly, then make an appointment every week to follow up with the medication until the symptoms improve."
43,"The staff answered all the questions, even if the patient is just a lot."
44,"Must help himself everything From the document until booking the room, it must be done by yourself. Understand that it is a state hospital, but it should be managed more systematically."
45,The nurses are very good in both speaking and not sharing classes.
46,"Experience is that day is October 23 That day we had a lot of stomach pain. Let me go to bed and wait for the salt water. Injection of childbirth Left us lying in bed Then the nurse went to the mobile living When 1 hour passed, we called Nurse, I would like to give birth, not interested in playing mobile phones. 5 minutes later We, Tata, told the doctor that Can&#39;t get it, then will give birth until the baby comes out. The nurse is running ... Get the baby that is born. ... don&#39;t want to happen again Would like to pay more attention to patients"
47,The number of doctors is not enough. Waiting for a long time. Face without emotion in the administration Positive thinking is that you are tired.
48,The doctor is very good. Pay attention to details But that is treated as a special clinic Work close to private
