,0
0,1_negative
1,1_negative
2,1_negative
3,1_negative
4,1_negative
5,1_negative
6,0_positive
7,0_positive
8,0_positive
9,1_negative
10,1_negative
11,0_positive
12,0_positive
13,1_negative
14,0_positive
15,0_positive
16,1_negative
17,1_negative
18,1_negative
19,1_negative
20,0_positive
21,0_positive
22,0_positive
23,0_positive
24,0_positive
25,0_positive
26,1_negative
27,1_negative
28,1_negative
29,0_positive
30,1_negative
31,1_negative
32,0_positive
33,0_positive
34,1_negative
35,1_negative
36,0_positive
37,1_negative
38,0_positive
39,1_negative
40,0_positive
41,1_negative
42,1_negative
43,0_positive
44,0_positive
45,1_negative
46,1_negative
47,0_positive
48,1_negative
49,1_negative
50,0_positive
51,1_negative
52,1_negative
53,0_positive
54,0_positive
55,1_negative
56,0_positive
57,1_negative
58,1_negative
59,1_negative
60,1_negative
61,1_negative
62,0_positive
63,0_positive
64,0_positive
65,1_negative
66,1_negative
67,0_positive
68,1_negative
69,1_negative
70,0_positive
71,0_positive
72,0_positive
73,1_negative
74,1_negative
75,0_positive
76,1_negative
77,0_positive
78,1_negative
79,1_negative
80,0_positive
81,0_positive
82,0_positive
83,0_positive
84,0_positive
85,1_negative
86,0_positive
87,1_negative
88,0_positive
89,0_positive
90,0_positive
91,0_positive
92,1_negative
93,0_positive
94,0_positive
95,0_positive
96,1_negative
97,0_positive
98,0_positive
99,0_positive
100,0_positive
101,1_negative
102,1_negative
103,0_positive
104,1_negative
105,1_negative
106,1_negative
107,1_negative
108,1_negative
109,1_negative
110,1_negative
111,0_positive
112,0_positive
113,0_positive
114,1_negative
115,0_positive
116,1_negative
117,1_negative
118,1_negative
119,1_negative
120,1_negative
121,1_negative
122,1_negative
123,0_positive
124,1_negative
125,0_positive
126,1_negative
127,1_negative
128,0_positive
129,1_negative
130,1_negative
131,1_negative
132,1_negative
133,1_negative
134,1_negative
135,0_positive
136,0_positive
137,0_positive
138,0_positive
139,0_positive
140,0_positive
141,0_positive
142,0_positive
143,1_negative
144,0_positive
145,0_positive
146,0_positive
147,0_positive
148,1_negative
149,0_positive
150,0_positive
151,0_positive
152,0_positive
153,1_negative
154,1_negative
155,0_positive
156,0_positive
157,0_positive
158,0_positive
159,1_negative
160,0_positive
161,1_negative
162,0_positive
163,1_negative
164,1_negative
165,1_negative
166,1_negative
167,0_positive
168,0_positive
169,1_negative
170,1_negative
171,0_positive
172,0_positive
173,1_negative
174,0_positive
175,0_positive
176,0_positive
